# ----------------------------------------
# csstats.gg
# Untitled exploration-Free form 1
# 20260225-20260316
# ----------------------------------------

ads_ab_variant,prebid,publift,(not set),,Totals
Country,Views,Views,Views,Views,Views
United States,6312,5498,114,4,11928
Uruguay,6948,4369,16,0,11333
Uzbekistan,22638,23263,93,0,45994
Vanuatu,4,0,0,0,4
Venezuela,2080,2382,13,0,4475
Vietnam,46973,48572,825,30,96400
Western Sahara,2,9,0,0,11
Zambia,57,37,1,0,95
Zimbabwe,8,8,0,0,16
Åland Islands,30,63,0,0,93

