Campaign ID,Technical Name,Mission Name,Total Distinct Users Activated,Total Distinct Users Completed
69a98a03c9826d9e405f19c7,TRADEIT AL & NO TRADE - MISTERY BOX - NORTH AMERICA MARCH26,Play 1 game on FACEIT,"5,508","4,852"
69a98b5124382158645625ba,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - MENA MARCH26,Play 1 game on FACEIT,"14,777","12,966"
67c990325f277dd3bae6e396,TRADEIT USERS AL & TRADE USA CA MAR25,Play 1 game on FACEIT,"3,644","3,306"
69a98bad67440357fc479e01,TRADEIT USERS AL & TRADE MENA MARCH26,Play 1 game on FACEIT,"1,762","1,617"
69a98c6b8b5fcff0aab2539c,TRADEIT USERS AL & TRADE APAC MARCH26,Play 1 game on FACEIT,"2,284","2,105"
67c9907e5f277dd3bae6e3a0,TRADEIT GENERAL MISSION USA CANADA MAR25,Play 1 game on FACEIT,"64,360","53,713"
67c9904cbceb574462be1549,TRADEIT GENERAL MISSION RU MAR25,Play 1 game on FACEIT,"421,617","382,901"
69a98b81c9826d9e405f19cc,TRADEIT AL & NO TRADE - MISTERY BOX - MENA MARCH26,Play 1 game on FACEIT,"2,195","2,046"
69a98be124382158645625bc,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - APAC MARCH26,Play 1 game on FACEIT,"34,618","29,159"
67c990415f277dd3bae6e398,TRADEIT USERS NO TRADE USA CANADA MAR25,Play 1 game on FACEIT,"5,806","5,287"
