Campaigns Technical Name,Campaign Missions Mission Name, User Campaign Missions Total Active Missions, User Campaign Missions Total Completed Missions, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed
TRADEIT AL & NO TRADE MISTERY BOX  LATAM - APRIL26,Play 1 game on FACEIT,209,"1,442","1,651","1,442"
TRADEIT USERS AL & TRADE MENA - APRIL26,Play 1 game on FACEIT,198,"1,968","2,166","1,968"
TRADEIT AL & NO TRADE MISTERY BOX  LATAM - APRIL26,Trade an item $50+,177,12,189,12
TRADEIT AL & NO TRADE MISTERY BOX NORTH AMERICA - APRIL26,Trade an item $50+,170,21,191,21
TRADEIT USERS AL & TRADE CIS MEGA - APRIL26,Обменяй предмет стоимостью от 250 долларов,168,31,199,31
TRADEIT USERS AL & TRADE NORTH AMERICA - APRIL26,Trade an item $250+,165,29,194,29
TRADEIT GENERAL MISSION MISTERY MENA - APRIL26,Trade an item $50+,155,22,177,22
TRADEIT AL & NO TRADE MISTERY BOX MENA - APRIL26,Trade an item $50+,144,14,158,14
TRADEIT USERS AL & TRADE LATAM - APRIL26,Play 1 game on FACEIT,133,"1,155","1,288","1,155"
TRADEIT AL & NO TRADE MISTERY BOX  APAC - APRIL26,Trade an item $50+,120,10,130,10
TRADEIT USERS AL & TRADE MENA - APRIL26,Trade an item $250+,96,16,112,16
TRADEIT USERS AL & TRADE APAC - APRIL26,Trade an item $250+,81,10,91,10
TRADEIT USERS AL & TRADE LATAM - APRIL26,Trade an item $250+,46,8,54,8
