User Reward Progress V1 Campaign ID,User Reward Progress V1 Fp Amount,User Reward Progress V1 Reward Type,User Reward Progress V1 Shop Item ID,User Reward Progress V1 Status,User Reward Progress V1 Total Events,User Reward Progress V1 Total Unique Users
694009049b4d58f8c47e6fd0,100,faceit_points,,AVAILABLE,1,1
694009049b4d58f8c47e6fd0,100,faceit_points,,IN_PROGRESS,"147,104","147,097"
694009049b4d58f8c47e6fd0,500,faceit_points,,COMPLETED,"1,852","1,852"
694009049b4d58f8c47e6fd0,500,faceit_points,,IN_PROGRESS,"135,974","135,951"
694009049b4d58f8c47e6fd0,0,unknown,,EXPIRED,"279,611","145,521"
694009049b4d58f8c47e6fd0,100,faceit_points,,COMPLETED,"1,592","1,591"
6940093e9b4d58f8c47e6fd1,250,faceit_points,,EXPIRED,"2,065","2,049"
6940093e9b4d58f8c47e6fd1,250,faceit_points,,COMPLETED,486,486
6940093e9b4d58f8c47e6fd1,"1,000",faceit_points,,COMPLETED,516,516
6940093e9b4d58f8c47e6fd1,0,shop_item,66697fded0fd28eac68abd2f,IN_PROGRESS,"2,878","2,872"
6940093e9b4d58f8c47e6fd1,0,unknown,,EXPIRED,"277,219","143,612"
6940093e9b4d58f8c47e6fd1,"1,000",faceit_points,,IN_PROGRESS,"2,878","2,872"
6940093e9b4d58f8c47e6fd1,500,faceit_points,,IN_PROGRESS,"2,878","2,872"
6940093e9b4d58f8c47e6fd1,0,shop_item,6915f6593cf1ba1ff1eed504,EXPIRED,"2,023","2,007"
6940093e9b4d58f8c47e6fd1,500,faceit_points,,EXPIRED,"2,050","2,034"
6940093e9b4d58f8c47e6fd1,100,faceit_points,,IN_PROGRESS,"146,132","146,125"
6940093e9b4d58f8c47e6fd1,0,shop_item,66697fded0fd28eac68abd2f,FAILED,14,14
6940093e9b4d58f8c47e6fd1,0,shop_item,66697fded0fd28eac68abd2f,COMPLETED,487,487
6940093e9b4d58f8c47e6fd1,0,shop_item,6915f6593cf1ba1ff1eed504,COMPLETED,528,528
6940093e9b4d58f8c47e6fd1,400,faceit_points,,COMPLETED,"2,954","2,954"
6940093e9b4d58f8c47e6fd1,"1,000",faceit_points,,EXPIRED,"2,037","2,018"
6940093e9b4d58f8c47e6fd1,0,shop_item,6915f6593cf1ba1ff1eed504,IN_PROGRESS,"2,878","2,872"
6940093e9b4d58f8c47e6fd1,400,faceit_points,,IN_PROGRESS,"135,113","135,077"
6940093e9b4d58f8c47e6fd1,100,faceit_points,,COMPLETED,"2,753","2,752"
6940093e9b4d58f8c47e6fd1,250,faceit_points,,IN_PROGRESS,"2,878","2,872"
6940093e9b4d58f8c47e6fd1,500,faceit_points,,COMPLETED,501,501
6940093e9b4d58f8c47e6fd1,0,shop_item,66697fded0fd28eac68abd2f,EXPIRED,"2,053","2,049"
69400986ffb11e2ea751ffe0,0,unknown,,EXPIRED,"26,636","26,625"
69400986ffb11e2ea751ffe0,500,faceit_points,,COMPLETED,394,322
69400986ffb11e2ea751ffe0,0,competition_entry,,IN_PROGRESS,306,304
69400986ffb11e2ea751ffe0,0,competition_entry,,COMPLETED,72,72
69400986ffb11e2ea751ffe0,100,faceit_points,,COMPLETED,"25,307","25,307"
69400986ffb11e2ea751ffe0,500,faceit_points,,IN_PROGRESS,"25,754","25,272"
69400986ffb11e2ea751ffe0,100,faceit_points,,IN_PROGRESS,"26,704","26,688"
694009c2dbf0df69e43028c4,500,faceit_points,,IN_PROGRESS,"19,305","19,102"
694009c2dbf0df69e43028c4,100,faceit_points,,COMPLETED,"19,789","19,789"
694009c2dbf0df69e43028c4,0,competition_entry,,IN_PROGRESS,"19,138","19,102"
694009c2dbf0df69e43028c4,0,competition_entry,,COMPLETED,169,169
694009c2dbf0df69e43028c4,0,unknown,,EXPIRED,"20,164","20,161"
694009c2dbf0df69e43028c4,500,faceit_points,,COMPLETED,169,169
694009c2dbf0df69e43028c4,100,faceit_points,,IN_PROGRESS,"20,860","20,854"
69400a01b2e493c0c53761cf,"1,000",faceit_points,,AVAILABLE,1,1
69400a01b2e493c0c53761cf,0,shop_item,67c1953b36a0b59af8bf622d,FAILED,26,26
69400a01b2e493c0c53761cf,0,shop_item,67c1953b36a0b59af8bf622d,IN_PROGRESS,"8,016","8,016"
69400a01b2e493c0c53761cf,"1,000",faceit_points,,IN_PROGRESS,"74,416","74,320"
69400a01b2e493c0c53761cf,0,unknown,,EXPIRED,"71,867","71,837"
69400a01b2e493c0c53761cf,0,shop_item,67c1953b36a0b59af8bf622d,CLAIMED,"6,030","6,030"
69400a01b2e493c0c53761cf,100,faceit_points,,COMPLETED,"75,721","75,721"
69400a01b2e493c0c53761cf,100,faceit_points,,IN_PROGRESS,"79,427","79,391"
69400a01b2e493c0c53761cf,100,faceit_points,,FAILED,2,2
69400a01b2e493c0c53761cf,0,unknown,,COMPLETED,"6,029","6,029"
69400a01b2e493c0c53761cf,"1,000",faceit_points,,COMPLETED,"8,109","8,109"
69400a01b2e493c0c53761cf,100,faceit_points,,AVAILABLE,1,1
69400a482964d22091879528,100,faceit_points,,COMPLETED,"32,485","32,485"
69400a482964d22091879528,0,shop_item,67c195ae36a0b59af8bf622f,IN_PROGRESS,"3,288","3,288"
69400a482964d22091879528,100,faceit_points,,IN_PROGRESS,"37,514","37,510"
69400a482964d22091879528,0,unknown,,EXPIRED,"34,551","34,528"
