 Daily Active Players Day Month,,2026-02
Users Last Country ISO Code, Daily Active Players Total Finished Matchmaking Matches, Daily Active Players Total Finished Matchmaking Matches
RU,"12,174,327","12,174,327"
KZ,"3,623,059","3,623,059"
PL,"3,392,765","3,392,765"
UA,"1,363,341","1,363,341"
XK,"1,103,869","1,103,869"
TR,"1,088,946","1,088,946"
DE,"1,072,781","1,072,781"
RO,"1,046,223","1,046,223"
BY,"937,972","937,972"
UZ,"799,747","799,747"
FI,"593,039","593,039"
PT,"585,711","585,711"
NL,"533,485","533,485"
US,"528,836","528,836"
DK,"431,661","431,661"
SE,"410,301","410,301"
FR,"405,336","405,336"
MN,"403,244","403,244"
GB,"351,390","351,390"
BR,"346,303","346,303"
MK,"345,257","345,257"
RS,"341,295","341,295"
AR,"287,673","287,673"
LT,"270,153","270,153"
CZ,"245,571","245,571"
KG,"225,302","225,302"
LV,"206,597","206,597"
GE,"191,859","191,859"
ES,"176,879","176,879"
BG,"166,832","166,832"
SK,"145,864","145,864"
NO,"139,435","139,435"
CA,"137,778","137,778"
HU,"134,087","134,087"
AT,"122,315","122,315"
EE,"120,851","120,851"
PK,"118,573","118,573"
MD,"118,245","118,245"
AL,"109,743","109,743"
BA,"105,413","105,413"
TJ,"99,510","99,510"
VN,"98,224","98,224"
BE,"94,705","94,705"
IT,"94,393","94,393"
CH,"93,636","93,636"
AU,"75,732","75,732"
HR,"75,158","75,158"
IL,"73,798","73,798"
DZ,"72,517","72,517"
AZ,"66,147","66,147"
LB,"60,200","60,200"
PH,"59,655","59,655"
GR,"58,765","58,765"
IN,"54,097","54,097"
KR,"51,986","51,986"
MY,"50,062","50,062"
AE,"49,805","49,805"
IR,"48,631","48,631"
TH,"47,256","47,256"
ME,"47,011","47,011"
JO,"46,108","46,108"
CL,"42,731","42,731"
HK,"42,317","42,317"
ID,"41,922","41,922"
IE,"38,217","38,217"
SG,"36,923","36,923"
SI,"34,467","34,467"
AM,"33,518","33,518"
TW,"28,424","28,424"
PS,"28,362","28,362"
PE,"28,171","28,171"
CN,"27,077","27,077"
JP,"24,041","24,041"
UY,"20,542","20,542"
IQ,"19,823","19,823"
SA,"18,628","18,628"
VE,"17,977","17,977"
TN,"15,740","15,740"
IS,"14,682","14,682"
MX,"13,666","13,666"
MA,"13,492","13,492"
EG,"12,633","12,633"
CY,"12,035","12,035"
SY,"10,546","10,546"
NZ,"9,894","9,894"
CO,"7,581","7,581"
BD,"7,546","7,546"
KH,"7,372","7,372"
KW,"7,107","7,107"
LU,"6,219","6,219"
MM,"5,106","5,106"
PY,"5,016","5,016"
QA,"4,155","4,155"
MT,"3,602","3,602"
BN,"2,982","2,982"
LK,"2,434","2,434"
EC,"2,376","2,376"
BO,"2,343","2,343"
LY,"1,868","1,868"
OM,"1,862","1,862"
DO,"1,659","1,659"
CR,"1,542","1,542"
MO,"1,498","1,498"
,"1,412","1,412"
GT,"1,299","1,299"
NP,"1,173","1,173"
LI,"1,151","1,151"
AX,"1,142","1,142"
PA,"1,138","1,138"
BH,950,950
LA,633,633
SV,579,579
MU,568,568
MV,555,555
KE,513,513
HN,505,505
GH,483,483
ZA,482,482
CI,464,464
JE,416,416
IM,408,408
AD,323,323
RE,313,313
FO,294,294
SN,294,294
PR,279,279
MR,264,264
NC,193,193
AO,193,193
MQ,164,164
NG,154,154
TM,152,152
TD,145,145
BS,126,126
GL,120,120
GU,117,117
MC,93,93
GA,85,85
DJ,83,83
GG,82,82
NI,80,80
TG,76,76
JM,71,71
GN,71,71
TT,63,63
MG,61,61
ZW,61,61
GP,51,51
ET,46,46
AW,42,42
CW,34,34
AF,34,34
KY,34,34
TZ,33,33
MF,30,30
BQ,30,30
GI,29,29
PF,19,19
BJ,18,18
CD,16,16
TL,15,15
ML,15,15
PM,15,15
GF,14,14
BM,14,14
CV,13,13
GY,12,12
CM,12,12
SM,10,10
NE,9,9
SR,9,9
SC,8,8
BB,6,6
YE,6,6
VU,5,5
DM,4,4
PG,4,4
BT,4,4
AG,3,3
BF,3,3
LR,3,3
RW,2,2
BL,2,2
BZ,2,2
VI,2,2
NA,1,1
SD,1,1
UG,0,0
CU,0,0
,"36,995,988","36,995,988"
