Campaigns Technical Name,Campaign Missions Mission Name, User Campaign Missions Total Active Missions, User Campaign Missions Total Completed Missions, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed
KZ NO AL USERS MARCH26,Внесите депозит,"131,837",110,"82,549",110
KZ NO AL USERS FEBRUARY26,Внесите депозит,"69,513",47,"69,560",47
KZ NO AL USERS JANUARY26,Внесите депозит,"65,938",37,"65,975",37
WHITEMARKET MISSION 1 - NO AL - UA - MARCH26,Зроби покупку на white.market (на будь-яку суму),"36,871",83,"36,954",83
WHITEMARKET MISSION 1 - NO AL - UA - FEBRUARY26,Зроби покупку на white.market (на будь-яку суму),"34,600",68,"34,668",68
WHITEMARKET MISSION 1 - NO AL - UA JANUARY26,Buy with white.market (any amount),"32,051",64,"32,115",64
WHITEMARKET MISSION 1 - NO AL - UA - APRIL26,Зроби покупку на white.market (на будь-яку суму),"24,085",36,"24,121",36
WHITEMARKET MISSION 2 - AL + NO BUY - UA - MARCH26,Зроби покупку на white.market (на будь-яку суму),"18,170",97,"18,267",97
WHITEMARKET MISSION 2 - AL + NO BUY - UA - FEBRUARY26,Зроби покупку на white.market (на будь-яку суму),"17,234",98,"17,332",98
WHITEMARKET MISSION 2 - AL + NO BUY - UA - JANUARY26,Buy with white.market (any amount),"16,388",80,"16,468",80
WHITEMARKET MISSION 2 - AL + NO BUY - UA - APRIL26,Зроби покупку на white.market (на будь-яку суму),"14,453",60,"14,513",60
Winline Mission - KZ AL USERS MARCH26,Внесите депозит,"12,678",341,"13,019",341
WHITEMARKET MISSION 1 - NO AL - UA - MARCH26,Здобудь 2 перемоги,"12,234","37,547","49,781","37,547"
KZ AL USERS FEBRUARY26,Внесите депозит,"12,210",277,"12,487",277
WHITEMARKET MISSION 1 - NO AL - UA - FEBRUARY26,Здобудь 2 перемоги,"11,675","35,292","46,967","35,292"
KZ AL USERS JANUARY26,Внесите депозит,"11,487",290,"11,777",290
WHITEMARKET MISSION 1 - NO AL - UA JANUARY26,Get 2 wins,"11,329","32,727","44,056","32,727"
WHITEMARKET MISSION 1 - NO AL - UA - APRIL26,Здобудь 2 перемоги,"10,645","24,561","35,206","24,561"
KZ AL USERS APRIL26,Внесите депозит,"10,435",226,"10,661",226
WHITEMARKET MISSION 1 - NO AL - UA - APRIL26,Зіграй 1 матч,"5,995","36,033","41,991","35,999"
KZ NO AL USERS MARCH26,Сыграйте 1 матчей,"5,842","132,552","86,194","83,051"
WHITEMARKET MISSION 1 - NO AL - UA - MARCH26,Зіграй 1 матч,"5,573","50,783","56,267","50,702"
WHITEMARKET MISSION 1 - NO AL - UA - FEBRUARY26,Зіграй 1 матч,"5,121","47,987","53,028","47,914"
WHITEMARKET MISSION 1 - NO AL - UA JANUARY26,Play 1 match,"4,855","44,905","49,691","44,843"
KZ NO AL USERS JANUARY26,Сыграйте 1 матчей,"2,621","66,290","68,911","66,290"
KZ NO AL USERS FEBRUARY26,Сыграйте 1 матчей,"2,594","69,896","72,490","69,896"
WHITEMARKET MISSION 3 - AL + BUY - UA  - MARCH26,Зроби покупку на white.market (на будь-яку суму),"2,201",385,"2,586",385
WHITEMARKET MISSION 2 - AL + NO BUY - UA - APRIL26,Зіграй 1 матч,"2,088","14,706","16,794","14,706"
WHITEMARKET MISSION 3 - AL + BUY - UA  - APRIL26,Зроби покупку на white.market (на будь-яку суму),"2,003",218,"2,221",218
WHITEMARKET MISSION 3 - AL + BUY - UA  - FEBRUARY26,Зроби покупку на white.market (на будь-яку суму),"2,002",345,"2,347",345
WHITEMARKET MISSION 3 - AL + BUY - UA  - JANUARY26,Buy with white.market (any amount),"1,931",302,"2,233",302
WHITEMARKET MISSION 2 - AL + NO BUY - UA - MARCH26,Зіграй 1 матч,"1,396","18,517","19,910","18,514"
WHITEMARKET MISSION 2 - AL + NO BUY - UA - JANUARY26,Play 1 match,"1,257","16,735","17,984","16,729"
WHITEMARKET MISSION 2 - AL + NO BUY - UA - FEBRUARY26,Зіграй 1 матч,"1,257","17,584","18,831","17,577"
KZ AL USERS APRIL26,Сыграйте 1 матчей,558,"10,670","11,228","10,670"
Winline Mission - KZ AL USERS MARCH26,Сыграйте 1 матчей,366,"13,034","13,400","13,034"
WHITEMARKET MISSION 3 - AL + BUY - UA  - MARCH26,"Купи скін за $100+ (однією покупкою, декілька не накопичуються)",353,30,383,30
KZ AL USERS JANUARY26,Сыграйте 1 матчей,352,"11,789","12,141","11,789"
KZ AL USERS FEBRUARY26,Сыграйте 1 матчей,344,"12,503","12,847","12,503"
WHITEMARKET MISSION 3 - AL + BUY - UA  - APRIL26,Зіграй 1 матч,336,"2,243","2,579","2,243"
WHITEMARKET MISSION 3 - AL + BUY - UA  - FEBRUARY26,"Купи скін за $100+ (однією покупкою, декілька не накопичуються)",309,34,343,34
WHITEMARKET MISSION 3 - AL + BUY - UA  - JANUARY26,"Buy $100+ (single purchase, not commulative)",273,29,302,29
WHITEMARKET MISSION 3 - AL + BUY - UA  - APRIL26,"Купи скін за $100+ (однією покупкою, декілька не накопичуються)",203,14,217,14
WHITEMARKET MISSION 3 - AL + BUY - UA  - MARCH26,Зіграй 1 матч,160,"2,626","2,786","2,626"
WHITEMARKET MISSION 3 - AL + BUY - UA  - JANUARY26,Play 1 game on FACEIT,155,"2,260","2,415","2,260"
WHITEMARKET MISSION 3 - AL + BUY - UA  - FEBRUARY26,Зіграй 1 матч,155,"2,381","2,536","2,381"
WHITEMARKET MISSION 2 - AL + NO BUY - UA - MARCH26,"Купи скін за $100+ (однією покупкою, декілька не накопичуються)",92,3,95,3
WHITEMARKET MISSION 2 - AL + NO BUY - UA - FEBRUARY26,"Купи скін за $100+ (однією покупкою, декілька не накопичуються)",85,11,96,11
WHITEMARKET MISSION 1 - NO AL - UA - MARCH26,"Купи скін за $100+ (однією покупкою, декілька не накопичуються)",69,6,75,6
WHITEMARKET MISSION 2 - AL + NO BUY - UA - JANUARY26,"Buy $100+ (single purchase, not commulative)",69,8,77,8
WHITEMARKET MISSION 2 - AL + NO BUY - UA - APRIL26,"Купи скін за $100+ (однією покупкою, декілька не накопичуються)",59,0,59,0
WHITEMARKET MISSION 1 - NO AL - UA JANUARY26,"Buy $100+ (single purchase, not commulative)",53,5,58,5
WHITEMARKET MISSION 1 - NO AL - UA - FEBRUARY26,"Купи скін за $100+ (однією покупкою, декілька не накопичуються)",49,12,61,12
WHITEMARKET MISSION 1 - NO AL - UA - APRIL26,"Купи скін за $100+ (однією покупкою, декілька не накопичуються)",32,1,33,1
WHITEMARKET MISSION 3 - AL + BUY - UA  - FEBRUARY26,"Купи скін за $300+ (однією покупкою, декілька не накопичуються)",29,5,34,5
WHITEMARKET MISSION 3 - AL + BUY - UA  - MARCH26,"Купи скін за $300+ (однією покупкою, декілька не накопичуються)",27,3,30,3
WHITEMARKET MISSION 3 - AL + BUY - UA  - JANUARY26,"Buy $300+  (single purchase, not commulative)",23,5,28,5
WHITEMARKET MISSION 3 - AL + BUY - UA  - APRIL26,"Купи скін за $300+ (однією покупкою, декілька не накопичуються)",11,3,14,3
WHITEMARKET MISSION 2 - AL + NO BUY - UA - FEBRUARY26,"Купи скін за $300+ (однією покупкою, декілька не накопичуються)",7,0,7,0
WHITEMARKET MISSION 2 - AL + NO BUY - UA - JANUARY26,"Buy $300+  (single purchase, not commulative)",6,0,6,0
WHITEMARKET MISSION 2 - AL + NO BUY - UA - MARCH26,"Купи скін за $300+ (однією покупкою, декілька не накопичуються)",3,0,3,0
KZ AL USERS JANUARY26,Совершите ставку,3,286,289,286
KZ AL USERS FEBRUARY26,Совершите ставку,2,275,277,275
KZ NO AL USERS MARCH26,Совершите ставку,2,108,110,108
Winline Mission - KZ AL USERS MARCH26,Совершите ставку,1,340,341,340
KZ NO AL USERS JANUARY26,Совершите ставку,1,36,37,36
KZ AL USERS APRIL26,Совершите ставку,0,226,226,226
KZ NO AL USERS FEBRUARY26,Совершите ставку,0,47,47,47
