,Campaign Id,Technical name,Mission Name,Total Completed Missions,Total Users Activated
1,e5263da9-ce40-47af-8e20-7ce6698b0d56,KZ NO AL USERS MARCH26,Сыграйте 1 матчей,"76,309","79,213"
2,504efeb1-66c7-4847-b365-ebf978d2c3da,KZ NO AL USERS MARCH26,Сыграйте 1 матчей,"37,323","40,185"
3,c6dc7c78-1cab-4256-976b-92baa02a1254,Winline Mission - KZ AL USERS MARCH26,Сыграйте 1 матчей,"13,034","13,400"
4,c6dc7c78-1cab-4256-976b-92baa02a1254,Winline Mission - KZ AL USERS MARCH26,Внесите депозит,341,"13,019"
5,c6dc7c78-1cab-4256-976b-92baa02a1254,Winline Mission - KZ AL USERS MARCH26,Совершите ставку,340,341
6,e5263da9-ce40-47af-8e20-7ce6698b0d56,KZ NO AL USERS MARCH26,Внесите депозит,90,"75,923"
7,e5263da9-ce40-47af-8e20-7ce6698b0d56,KZ NO AL USERS MARCH26,Совершите ставку,89,90
8,504efeb1-66c7-4847-b365-ebf978d2c3da,KZ NO AL USERS MARCH26,Внесите депозит,5,"37,224"
9,504efeb1-66c7-4847-b365-ebf978d2c3da,KZ NO AL USERS MARCH26,Совершите ставку,4,5
