,Campaign Id,Technical name,Mission Name,Total Completed Missions,Total Users Activated
1,9618a1f0-7ce3-4997-af7c-aadf8320fe76,Winline Mission - BY MARCH26,Сыграйте 1 матчей,"18,546","19,906"
2,9618a1f0-7ce3-4997-af7c-aadf8320fe76,Winline Mission - BY MARCH26,Выиграйте 10 матчей,"8,754","18,348"
