,Campaign Id,Technical name,Mission Name,Total Completed Missions,Total Users Activated
1,dea55699-6561-4bdf-a055-c8c850e9e4b7,WHITEMARKET MISSION 1 - NO AL - UA - MARCH26,Зіграй 1 матч,"50,783","56,267"
2,dea55699-6561-4bdf-a055-c8c850e9e4b7,WHITEMARKET MISSION 1 - NO AL - UA - MARCH26,Здобудь 2 перемоги,"37,547","49,781"
3,ac438ed7-a9da-48ae-af16-98eacc83e99f,WHITEMARKET MISSION 2 - AL + NO BUY - UA - MARCH26,Зіграй 1 матч,"18,517","19,910"
4,22d24c6f-1d5f-407e-ae49-dc1a1a934803,WHITEMARKET MISSION 3 - AL + BUY - UA  - MARCH26,Зіграй 1 матч,"2,626","2,786"
5,22d24c6f-1d5f-407e-ae49-dc1a1a934803,WHITEMARKET MISSION 3 - AL + BUY - UA  - MARCH26,Зроби покупку на white.market (на будь-яку суму),385,"2,586"
6,ac438ed7-a9da-48ae-af16-98eacc83e99f,WHITEMARKET MISSION 2 - AL + NO BUY - UA - MARCH26,Зроби покупку на white.market (на будь-яку суму),97,"18,267"
7,dea55699-6561-4bdf-a055-c8c850e9e4b7,WHITEMARKET MISSION 1 - NO AL - UA - MARCH26,Зроби покупку на white.market (на будь-яку суму),83,"36,954"
8,22d24c6f-1d5f-407e-ae49-dc1a1a934803,WHITEMARKET MISSION 3 - AL + BUY - UA  - MARCH26,"Купи скін за $100+ (однією покупкою, декілька не накопичуються)",30,383
9,dea55699-6561-4bdf-a055-c8c850e9e4b7,WHITEMARKET MISSION 1 - NO AL - UA - MARCH26,"Купи скін за $100+ (однією покупкою, декілька не накопичуються)",6,75
10,22d24c6f-1d5f-407e-ae49-dc1a1a934803,WHITEMARKET MISSION 3 - AL + BUY - UA  - MARCH26,"Купи скін за $300+ (однією покупкою, декілька не накопичуються)",3,30
11,ac438ed7-a9da-48ae-af16-98eacc83e99f,WHITEMARKET MISSION 2 - AL + NO BUY - UA - MARCH26,"Купи скін за $100+ (однією покупкою, декілька не накопичуються)",3,95
12,ac438ed7-a9da-48ae-af16-98eacc83e99f,WHITEMARKET MISSION 2 - AL + NO BUY - UA - MARCH26,"Купи скін за $300+ (однією покупкою, декілька не накопичуються)",0,3
