Event Type,Total Distinct Users,Total Unique Events
last_dep,"152,939","3,568,795"
task_dep_3000,"38,026","118,720"
task_bet_5000,"28,170","86,359"
task_dep_5000,"16,599","50,130"
task_bet_25000,"10,032","26,043"
task_dep,"8,675","8,675"
task_first_dep_500,"5,592","5,948"
task_bet,"4,240","4,241"
task_bet_2500,"3,569","4,831"
task_bet_1000,"1,754","1,843"
task_dep_1111,"1,199","1,273"
task_dep_2222,798,883
task_first_dep,366,366
task_bet_4444,168,168
task_bet_5555,75,75
task_bet_3333,41,41
