User Reward Progress V1 Campaign ID,User Reward Progress V1 Fp Amount,User Reward Progress V1 Reward Type,User Reward Progress V1 Shop Item ID,User Reward Progress V1 Status,User Reward Progress V1 Total Events,User Reward Progress V1 Total Unique Users
694a8bb5fe58fa8f3dc72bdb,"1,000",faceit_points,,COMPLETED,866,866
694a8bb5fe58fa8f3dc72bdb,0,shop_item,694bb7e4f68574a3cf8b2517,CLAIMED,19,19
694a8bb5fe58fa8f3dc72bdb,0,shop_item,694bb7e4f68574a3cf8b2517,IN_PROGRESS,176,176
694a8bb5fe58fa8f3dc72bdb,0,unknown,,EXPIRED,"38,869","21,516"
694a8bb5fe58fa8f3dc72bdb,0,shop_item,694bb787c86a5f8289bb24ef,CLAIMED,175,175
694a8bb5fe58fa8f3dc72bdb,"1,000",faceit_points,,IN_PROGRESS,"21,535","21,531"
694a8bb5fe58fa8f3dc72bdb,0,shop_item,694bb787c86a5f8289bb24ef,IN_PROGRESS,"18,214","18,211"
694a8bb5fe58fa8f3dc72bdb,0,unknown,,COMPLETED,194,175
694a8be18e214f349b545914,0,shop_item,694bb787c86a5f8289bb24ef,FAILED,1,1
694a8be18e214f349b545914,0,shop_item,694bb787c86a5f8289bb24ef,CLAIMED,219,219
694a8be18e214f349b545914,"2,000",faceit_points,,COMPLETED,956,956
694a8be18e214f349b545914,"2,000",faceit_points,,IN_PROGRESS,"21,665","21,664"
694a8be18e214f349b545914,0,shop_item,694bb7e4f68574a3cf8b2517,IN_PROGRESS,225,220
694a8be18e214f349b545914,0,shop_item,694bb7e4f68574a3cf8b2517,CLAIMED,17,17
694a8be18e214f349b545914,0,unknown,,COMPLETED,236,219
694a8be18e214f349b545914,0,shop_item,694bb787c86a5f8289bb24ef,IN_PROGRESS,"18,357","18,351"
694a8be18e214f349b545914,0,unknown,,EXPIRED,"39,049","21,651"
694a8c1711b1431cb8f133b8,0,shop_item,694bb640c86a5f8289bb24ea,FAILED,1,1
694a8c1711b1431cb8f133b8,0,shop_item,694bb640c86a5f8289bb24ea,IN_PROGRESS,"5,994","5,994"
694a8c1711b1431cb8f133b8,0,unknown,,EXPIRED,"7,029","5,933"
694a8c1711b1431cb8f133b8,0,unknown,,COMPLETED,"4,418","4,312"
694a8c1711b1431cb8f133b8,0,shop_item,694bb640c86a5f8289bb24ea,CLAIMED,"5,412","5,412"
694a8c1711b1431cb8f133b8,0,shop_item,694bb787c86a5f8289bb24ef,CLAIMED,102,102
694a8c1711b1431cb8f133b8,0,shop_item,694bb7e4f68574a3cf8b2517,CLAIMED,14,14
694a8c1711b1431cb8f133b8,0,shop_item,694bb7e4f68574a3cf8b2517,IN_PROGRESS,102,102
694a8c1711b1431cb8f133b8,0,shop_item,694bb787c86a5f8289bb24ef,IN_PROGRESS,"5,352","5,351"
694a8c45fe58fa8f3dc72bdd,0,unknown,,EXPIRED,"5,659","4,526"
694a8c45fe58fa8f3dc72bdd,0,unknown,,COMPLETED,"3,339","3,138"
694a8c45fe58fa8f3dc72bdd,0,shop_item,694bb7e4f68574a3cf8b2517,CLAIMED,233,233
694a8c45fe58fa8f3dc72bdd,0,shop_item,694bb640c86a5f8289bb24ea,FAILED,3,3
694a8c45fe58fa8f3dc72bdd,0,shop_item,694bb640c86a5f8289bb24ea,CLAIMED,"4,278","4,278"
694a8c45fe58fa8f3dc72bdd,0,shop_item,694bb7e4f68574a3cf8b2517,IN_PROGRESS,"4,251","4,247"
694a8c45fe58fa8f3dc72bdd,0,shop_item,694bb640c86a5f8289bb24ea,IN_PROGRESS,"4,751","4,750"
694a8c7946aba03183541c8b,0,shop_item,694bb84af68574a3cf8b2519,IN_PROGRESS,"363,950","363,824"
694a8c7946aba03183541c8b,500,faceit_points,,COMPLETED,"6,444","6,426"
694a8c7946aba03183541c8b,0,shop_item,694bb899f68574a3cf8b251a,CLAIMED,65,65
694a8c7946aba03183541c8b,0,shop_item,694bb84af68574a3cf8b2519,FAILED,2,2
694a8c7946aba03183541c8b,500,faceit_points,,AVAILABLE,1,1
694a8c7946aba03183541c8b,0,shop_item,694bb899f68574a3cf8b251a,IN_PROGRESS,"1,194","1,187"
694a8c7946aba03183541c8b,0,shop_item,694bb84af68574a3cf8b2519,CLAIMED,"1,195","1,195"
694a8c7946aba03183541c8b,0,unknown,,COMPLETED,"1,259","1,194"
694a8c7946aba03183541c8b,500,faceit_points,,IN_PROGRESS,"390,587","390,570"
694a8c7946aba03183541c8b,0,unknown,,EXPIRED,"748,818","390,519"
694a8caf11b1431cb8f133b9,0,shop_item,694bb640c86a5f8289bb24ea,IN_PROGRESS,"56,348","56,339"
694a8caf11b1431cb8f133b9,0,shop_item,694bb899f68574a3cf8b251a,IN_PROGRESS,488,486
694a8caf11b1431cb8f133b9,0,unknown,,COMPLETED,"38,806","38,391"
694a8caf11b1431cb8f133b9,0,shop_item,694bb84af68574a3cf8b2519,IN_PROGRESS,"53,473","53,440"
694a8caf11b1431cb8f133b9,0,shop_item,694bb84af68574a3cf8b2519,CLAIMED,489,489
694a8caf11b1431cb8f133b9,0,shop_item,694bb640c86a5f8289bb24ea,CLAIMED,"53,511","53,511"
694a8caf11b1431cb8f133b9,0,unknown,,EXPIRED,"71,466","56,257"
694a8caf11b1431cb8f133b9,0,shop_item,694bb640c86a5f8289bb24ea,FAILED,22,22
694a8caf11b1431cb8f133b9,0,shop_item,694bb899f68574a3cf8b251a,CLAIMED,18,18
694a8cdd46aba03183541c8c,0,shop_item,694bb899f68574a3cf8b251a,IN_PROGRESS,"22,911","22,883"
694a8cdd46aba03183541c8c,0,shop_item,694bb640c86a5f8289bb24ea,CLAIMED,"22,916","22,916"
694a8cdd46aba03183541c8c,0,shop_item,694bb899f68574a3cf8b251a,CLAIMED,336,336
694a8cdd46aba03183541c8c,0,unknown,,COMPLETED,"14,998","14,681"
694a8cdd46aba03183541c8c,0,shop_item,694bb640c86a5f8289bb24ea,IN_PROGRESS,"24,096","24,093"
694a8cdd46aba03183541c8c,0,shop_item,694bb640c86a5f8289bb24ea,AVAILABLE,1,1
694a8cdd46aba03183541c8c,0,unknown,,EXPIRED,"31,983","23,753"
694a8cdd46aba03183541c8c,0,shop_item,694bb640c86a5f8289bb24ea,FAILED,15,15
694a8d0d46aba03183541c8d,0,shop_item,694bb6f6c86a5f8289bb24ed,IN_PROGRESS,"13,269","13,266"
694a8d0d46aba03183541c8d,0,shop_item,694bb6acf68574a3cf8b2516,FAILED,1,1
694a8d0d46aba03183541c8d,0,shop_item,694bb6f6c86a5f8289bb24ed,CLAIMED,164,164
694a8d0d46aba03183541c8d,0,shop_item,694bb6acf68574a3cf8b2516,IN_PROGRESS,"15,247","15,245"
694a8d0d46aba03183541c8d,0,unknown,,EXPIRED,"27,859","15,228"
694a8d0d46aba03183541c8d,0,unknown,,COMPLETED,815,647
694a8d0d46aba03183541c8d,0,shop_item,694bb7e4f68574a3cf8b2517,CLAIMED,13,13
694a8d0d46aba03183541c8d,0,shop_item,694bb6acf68574a3cf8b2516,CLAIMED,640,640
694a8d0d46aba03183541c8d,0,shop_item,694bb7e4f68574a3cf8b2517,IN_PROGRESS,162,162
694a8d3a11b1431cb8f133bc,0,shop_item,694bb640c86a5f8289bb24ea,CLAIMED,"2,006","2,006"
694a8d3a11b1431cb8f133bc,0,shop_item,694bb7e4f68574a3cf8b2517,IN_PROGRESS,60,59
694a8d3a11b1431cb8f133bc,0,shop_item,694bb640c86a5f8289bb24ea,FAILED,2,2
694a8d3a11b1431cb8f133bc,0,shop_item,694bb6f6c86a5f8289bb24ed,CLAIMED,59,59
694a8d3a11b1431cb8f133bc,0,shop_item,694bb640c86a5f8289bb24ea,IN_PROGRESS,"2,174","2,173"
694a8d3a11b1431cb8f133bc,0,unknown,,EXPIRED,"2,182","2,159"
694a8d3a11b1431cb8f133bc,0,shop_item,694bb7e4f68574a3cf8b2517,CLAIMED,3,3
694a8d3a11b1431cb8f133bc,0,unknown,,COMPLETED,"2,045","1,986"
694a8d3a11b1431cb8f133bc,0,shop_item,694bb6f6c86a5f8289bb24ed,IN_PROGRESS,"2,000","1,995"
694a8d687454fa4a52840397,0,shop_item,694bb640c86a5f8289bb24ea,CLAIMED,"1,413","1,413"
694a8d687454fa4a52840397,0,unknown,,EXPIRED,"1,484","1,471"
694a8d687454fa4a52840397,0,shop_item,694bb640c86a5f8289bb24ea,FAILED,1,1
694a8d687454fa4a52840397,0,shop_item,694bb7e4f68574a3cf8b2517,CLAIMED,58,58
694a8d687454fa4a52840397,0,shop_item,694bb640c86a5f8289bb24ea,IN_PROGRESS,"1,537","1,537"
694a8d687454fa4a52840397,0,shop_item,694bb7e4f68574a3cf8b2517,IN_PROGRESS,"1,412","1,407"
694a8d687454fa4a52840397,0,unknown,,COMPLETED,"1,460","1,402"
694a8d9546aba03183541c8e,0,shop_item,694bb6f6c86a5f8289bb24ed,CLAIMED,206,206
694a8d9546aba03183541c8e,0,shop_item,694bb6f6c86a5f8289bb24ed,IN_PROGRESS,"42,438","42,433"
694a8d9546aba03183541c8e,0,shop_item,694bb7e4f68574a3cf8b2517,CLAIMED,19,19
694a8d9546aba03183541c8e,0,unknown,,COMPLETED,"1,283","1,065"
694a8d9546aba03183541c8e,0,unknown,,CLAIMED,1,1
694a8d9546aba03183541c8e,0,shop_item,694bb7e4f68574a3cf8b2517,IN_PROGRESS,206,206
694a8d9546aba03183541c8e,0,shop_item,694bb6acf68574a3cf8b2516,CLAIMED,"1,059","1,059"
694a8d9546aba03183541c8e,0,unknown,,EXPIRED,"90,407","49,030"
694a8d9546aba03183541c8e,0,shop_item,694bb6acf68574a3cf8b2516,IN_PROGRESS,"49,050","49,048"
694a8dbe8e214f349b545919,0,unknown,,EXPIRED,"4,028","3,982"
694a8dbe8e214f349b545919,0,unknown,,COMPLETED,"3,760","3,675"
694a8dbe8e214f349b545919,0,shop_item,694bb6f6c86a5f8289bb24ed,CLAIMED,76,76
694a8dbe8e214f349b545919,0,shop_item,694bb6f6c86a5f8289bb24ed,IN_PROGRESS,"3,705","3,705"
694a8dbe8e214f349b545919,0,shop_item,694bb640c86a5f8289bb24ea,CLAIMED,"3,718","3,718"
694a8dbe8e214f349b545919,0,shop_item,694bb7e4f68574a3cf8b2517,CLAIMED,10,10
694a8dbe8e214f349b545919,0,shop_item,694bb7e4f68574a3cf8b2517,IN_PROGRESS,76,76
694a8dbe8e214f349b545919,0,shop_item,694bb640c86a5f8289bb24ea,FAILED,2,2
694a8dbe8e214f349b545919,0,shop_item,694bb640c86a5f8289bb24ea,IN_PROGRESS,"4,007","4,007"
694a8de78e214f349b54591a,0,shop_item,694bb640c86a5f8289bb24ea,FAILED,1,1
