Country,Date,Total impressions,Total revenue,Total average eCPM,Total fill rate
Mexico,2026-03-30,30,$0.02 ,$0.65 ,12.99%
Singapore,2026-04-08,30,$0.00 ,$0.15 ,0.60%
Italy,2026-04-08,29,$0.00 ,$0.09 ,2.56%
Latvia,2026-04-03,29,$0.00 ,$0.15 ,1.58%
Latvia,2026-04-05,29,$0.00 ,$0.14 ,1.33%
Georgia,2026-03-30,28,$0.01 ,$0.38 ,7.31%
Greece,2026-03-30,28,$0.01 ,$0.42 ,4.72%
Latvia,2026-04-04,28,$0.00 ,$0.15 ,1.40%
Lithuania,2026-04-02,28,$0.01 ,$0.18 ,1.23%
Greece,2026-04-02,27,$0.01 ,$0.26 ,3.77%
Italy,2026-04-02,27,$0.00 ,$0.16 ,3.61%
Latvia,2026-03-31,27,$0.00 ,$0.13 ,1.79%
Lithuania,2026-03-30,27,$0.00 ,$0.12 ,1.37%
South Africa,2026-04-01,27,$0.00 ,$0.10 ,2.59%
Greece,2026-04-06,26,$0.01 ,$0.37 ,4.83%
Italy,2026-04-05,26,$0.00 ,$0.14 ,4.40%
Lithuania,2026-04-04,26,$0.00 ,$0.16 ,1.03%
Lithuania,2026-04-06,26,$0.01 ,$0.20 ,1.32%
Mongolia,2026-03-31,26,$0.01 ,$0.21 ,3.64%
Norway,2026-04-08,26,$0.02 ,$0.71 ,1.24%
Bulgaria,2026-04-05,25,$0.00 ,$0.02 ,2.15%
Finland,2026-04-03,25,$0.00 ,$0.00 ,0.63%
Finland,2026-04-04,25,$0.00 ,$0.02 ,0.55%
Japan,2026-04-07,25,$0.00 ,$0.11 ,1.57%
Mongolia,2026-04-03,25,$0.00 ,$0.15 ,2.28%
North Macedonia,2026-03-31,25,$0.00 ,$0.03 ,3.51%
Belgium,2026-03-31,24,$0.01 ,$0.21 ,3.27%
Croatia,2026-04-05,24,$0.00 ,$0.15 ,4.82%
Finland,2026-04-07,24,$0.00 ,$0.02 ,0.58%
India,2026-04-06,24,$0.01 ,$0.53 ,0.87%
Italy,2026-04-07,24,$0.00 ,$0.03 ,2.83%
Latvia,2026-03-30,24,$0.01 ,$0.26 ,1.93%
Peru,2026-03-30,24,$0.01 ,$0.24 ,2.37%
Thailand,2026-04-05,24,$0.00 ,$0.09 ,1.60%
Italy,2026-04-01,23,$0.00 ,$0.18 ,4.44%
Lithuania,2026-04-03,23,$0.00 ,$0.16 ,1.35%
China,2026-03-31,22,$0.00 ,$0.05 ,1.62%
India,2026-04-04,22,$0.00 ,$0.16 ,0.93%
Mexico,2026-04-07,22,$0.00 ,$0.17 ,15.17%
Mongolia,2026-04-04,22,$0.00 ,$0.15 ,1.30%
South Africa,2026-04-03,22,$0.00 ,$0.08 ,5.01%
South Africa,2026-04-06,22,$0.01 ,$0.26 ,4.10%
Georgia,2026-04-03,21,$0.00 ,$0.17 ,4.35%
Lithuania,2026-04-08,21,$0.00 ,$0.17 ,0.90%
Mongolia,2026-03-30,21,$0.00 ,$0.15 ,2.75%
New Zealand,2026-04-07,21,$0.00 ,$0.20 ,6.65%
Thailand,2026-04-07,21,$0.00 ,$0.02 ,1.34%
Ireland,2026-04-01,20,$0.01 ,$0.37 ,5.01%
Israel,2026-04-08,20,$0.00 ,$0.19 ,3.37%
Mongolia,2026-04-01,20,$0.00 ,$0.16 ,1.58%
Israel,2026-03-30,19,$0.00 ,$0.14 ,3.80%
New Zealand,2026-04-04,19,$0.00 ,$0.20 ,3.44%
Belgium,2026-04-01,18,$0.01 ,$0.31 ,2.11%
Croatia,2026-03-30,18,$0.01 ,$0.39 ,2.88%
India,2026-04-05,18,$0.01 ,$0.36 ,0.92%
Italy,2026-04-04,18,$0.00 ,$0.06 ,3.86%
Philippines,2026-04-04,18,$0.00 ,$0.09 ,2.22%
Greece,2026-03-31,17,$0.01 ,$0.81 ,3.36%
Ireland,2026-03-31,17,$0.01 ,$0.39 ,2.42%
Italy,2026-04-03,17,$0.00 ,$0.13 ,3.85%
Kyrgyzstan,2026-04-05,17,$0.01 ,$0.37 ,7.36%
Mongolia,2026-04-02,17,$0.00 ,$0.14 ,2.18%
New Zealand,2026-03-30,17,$0.00 ,$0.20 ,5.48%
North Macedonia,2026-03-30,17,$0.00 ,$0.17 ,7.26%
Ireland,2026-03-30,16,$0.01 ,$0.42 ,3.07%
Italy,2026-04-06,16,$0.00 ,$0.16 ,3.14%
Kyrgyzstan,2026-04-04,16,$0.00 ,$0.28 ,4.44%
New Zealand,2026-04-05,16,$0.00 ,$0.19 ,4.31%
South Africa,2026-04-05,16,$0.00 ,$0.29 ,3.65%
Bulgaria,2026-03-30,15,$0.00 ,$0.18 ,1.03%
Ireland,2026-04-04,15,$0.00 ,$0.20 ,2.43%
Mongolia,2026-04-07,15,$0.00 ,$0.14 ,2.38%
Philippines,2026-04-08,15,$0.00 ,$0.04 ,2.11%
United Arab Emirates,2026-04-04,15,$0.00 ,$0.19 ,3.52%
Finland,2026-04-01,14,$0.00 ,$0.02 ,0.33%
Kyrgyzstan,2026-04-08,14,$0.01 ,$0.43 ,5.79%
Latvia,2026-04-02,14,$0.00 ,$0.17 ,0.78%
Mexico,2026-04-06,14,$0.00 ,$0.16 ,9.93%
New Zealand,2026-03-31,14,$0.00 ,$0.20 ,3.24%
New Zealand,2026-04-02,14,$0.00 ,$0.20 ,2.21%
Paraguay,2026-03-30,14,$0.01 ,$0.40 ,33.33%
Slovenia,2026-04-02,14,$0.00 ,$0.23 ,1.32%
Ireland,2026-04-03,13,$0.00 ,$0.18 ,2.90%
Mongolia,2026-04-06,13,$0.00 ,$0.13 ,1.62%
Mongolia,2026-04-08,13,$0.00 ,$0.16 ,1.71%
Philippines,2026-04-03,13,$0.00 ,$0.11 ,2.12%
China,2026-04-08,12,$0.00 ,$0.21 ,0.65%
El Salvador,2026-03-30,12,$0.00 ,$0.27 ,50.00%
Georgia,2026-04-08,12,$0.00 ,$0.14 ,3.18%
Indonesia,2026-03-30,12,$0.00 ,$0.06 ,1.19%
Indonesia,2026-04-05,12,$0.02 ,$2.06 ,1.39%
Ireland,2026-04-02,12,$0.00 ,$0.16 ,5.13%
Israel,2026-04-02,12,$0.00 ,$0.16 ,2.85%
Kyrgyzstan,2026-04-06,12,$0.00 ,$0.25 ,3.83%
New Zealand,2026-04-01,12,$0.00 ,$0.17 ,3.50%
North Macedonia,2026-04-01,12,$0.00 ,$0.15 ,1.96%
North Macedonia,2026-04-07,12,$0.00 ,$0.15 ,9.09%
United Arab Emirates,2026-04-06,12,$0.00 ,$0.12 ,2.00%
Uruguay,2026-03-30,12,$0.00 ,$0.20 ,5.63%
Uruguay,2026-03-31,12,$0.00 ,$0.25 ,5.19%
Colombia,2026-04-03,11,$0.00 ,$0.20 ,17.74%
Croatia,2026-03-31,11,$0.00 ,$0.35 ,2.22%
Georgia,2026-04-06,11,$0.00 ,$0.16 ,2.87%
Israel,2026-03-31,11,$0.00 ,$0.28 ,2.57%
Israel,2026-04-03,11,$0.00 ,$0.16 ,1.00%
Israel,2026-04-04,11,$0.00 ,$0.38 ,1.52%
Saudi Arabia,2026-03-31,11,$0.00 ,$0.21 ,11.22%
Saudi Arabia,2026-04-03,11,$0.00 ,$0.16 ,10.68%
South Africa,2026-04-07,11,$0.00 ,$0.12 ,2.27%
Indonesia,2026-04-07,10,$0.00 ,$0.02 ,0.60%
Ireland,2026-04-08,10,$0.00 ,$0.08 ,1.81%
Latvia,2026-04-08,10,$0.00 ,$0.16 ,0.91%
Moldova,2026-04-03,10,$0.01 ,$0.51 ,1.42%
Moldova,2026-04-04,10,$0.01 ,$0.54 ,0.66%
North Macedonia,2026-04-08,10,$0.00 ,$0.10 ,4.50%
South Africa,2026-04-02,10,$0.00 ,$0.14 ,2.12%
United Arab Emirates,2026-04-03,10,$0.00 ,$0.06 ,2.29%
Uruguay,2026-04-06,10,$0.00 ,$0.31 ,3.75%
China,2026-03-30,9,$0.00 ,$0.19 ,0.50%
Croatia,2026-04-07,9,$0.00 ,$0.20 ,1.27%
Croatia,2026-04-08,9,$0.00 ,$0.17 ,2.34%
Israel,2026-04-05,9,$0.00 ,$0.08 ,1.62%
Latvia,2026-04-07,9,$0.00 ,$0.27 ,0.75%
Lithuania,2026-03-31,9,$0.01 ,$0.68 ,0.44%
Philippines,2026-03-30,9,$0.00 ,$0.08 ,0.95%
Slovenia,2026-03-30,9,$0.00 ,$0.15 ,2.18%
Tajikistan,2026-03-31,9,$0.00 ,$0.13 ,4.17%
Colombia,2026-04-02,8,$0.00 ,$0.21 ,11.11%
Colombia,2026-04-06,8,$0.00 ,$0.24 ,6.20%
Finland,2026-03-30,8,$0.00 ,$0.03 ,0.22%
Ireland,2026-04-05,8,$0.00 ,$0.08 ,1.60%
Ireland,2026-04-07,8,$0.00 ,$0.23 ,1.36%
Kyrgyzstan,2026-04-02,8,$0.00 ,$0.41 ,2.84%
Lebanon,2026-04-06,8,$0.00 ,$0.22 ,5.76%
North Macedonia,2026-04-05,8,$0.00 ,$0.08 ,3.56%
Philippines,2026-04-07,8,$0.00 ,$0.02 ,0.75%
Serbia,2026-04-03,8,$0.00 ,$0.16 ,0.74%
China,2026-04-01,7,$0.00 ,$0.32 ,0.31%
Honduras,2026-04-03,7,$0.00 ,$0.26 ,41.18%
Honduras,2026-04-06,7,$0.00 ,$0.16 ,53.85%
Honduras,2026-04-07,7,$0.00 ,$0.19 ,31.82%
Kyrgyzstan,2026-04-01,7,$0.00 ,$0.25 ,1.35%
Lebanon,2026-04-01,7,$0.00 ,$0.27 ,5.22%
North Macedonia,2026-04-02,7,$0.00 ,$0.06 ,3.72%
North Macedonia,2026-04-06,7,$0.00 ,$0.19 ,4.05%
Philippines,2026-04-05,7,$0.00 ,$0.12 ,1.61%
United Arab Emirates,2026-04-07,7,$0.00 ,$0.07 ,2.00%
Uruguay,2026-04-01,7,$0.00 ,$0.35 ,1.52%
China,2026-04-06,6,$0.00 ,$0.35 ,0.11%
Colombia,2026-03-31,6,$0.00 ,$0.19 ,4.26%
Colombia,2026-04-01,6,$0.00 ,$0.26 ,6.59%
Colombia,2026-04-05,6,$0.00 ,$0.12 ,10.53%
Croatia,2026-04-01,6,$0.00 ,$0.54 ,1.27%
Ecuador,2026-04-07,6,$0.00 ,$0.17 ,20.69%
El Salvador,2026-04-03,6,$0.00 ,$0.16 ,31.58%
Guatemala,2026-04-04,6,$0.00 ,$0.13 ,28.57%
Indonesia,2026-03-31,6,$0.00 ,$0.09 ,0.66%
Indonesia,2026-04-02,6,$0.00 ,$0.04 ,0.40%
Indonesia,2026-04-03,6,$0.00 ,$0.03 ,0.36%
Indonesia,2026-04-04,6,$0.00 ,$0.16 ,0.72%
Israel,2026-04-07,6,$0.00 ,$0.16 ,0.74%
Jordan,2026-04-05,6,$0.00 ,$0.14 ,2.78%
Latvia,2026-04-06,6,$0.00 ,$0.14 ,0.37%
Moldova,2026-04-08,6,$0.00 ,$0.00 ,0.80%
Saudi Arabia,2026-04-02,6,$0.01 ,$0.99 ,3.90%
Slovenia,2026-04-04,6,$0.00 ,$0.08 ,1.42%
South Africa,2026-04-08,6,$0.00 ,$0.07 ,2.80%
Uruguay,2026-04-02,6,$0.00 ,$0.26 ,2.46%
,2026-04-02,5,$0.00 ,$0.47 ,12.50%
,2026-04-03,5,$0.00 ,$0.20 ,10.64%
Cambodia,2026-04-07,5,$0.00 ,$0.19 ,22.73%
Colombia,2026-03-30,5,$0.00 ,$0.23 ,5.88%
Georgia,2026-03-31,5,$0.00 ,$0.49 ,1.33%
Georgia,2026-04-01,5,$0.00 ,$0.11 ,1.52%
Greece,2026-04-01,5,$0.00 ,$0.28 ,0.82%
Guatemala,2026-04-08,5,$0.00 ,$0.27 ,12.50%
Ireland,2026-04-06,5,$0.00 ,$0.13 ,1.47%
Israel,2026-04-01,5,$0.00 ,$0.15 ,1.04%
Moldova,2026-04-05,5,$0.00 ,$0.32 ,0.57%
North Macedonia,2026-04-04,5,$0.00 ,$0.12 ,2.17%
Puerto Rico,2026-03-30,5,$0.00 ,$0.35 ,33.33%
Saudi Arabia,2026-04-05,5,$0.00 ,$0.14 ,3.65%
Saudi Arabia,2026-04-06,5,$0.00 ,$0.12 ,5.75%
Slovenia,2026-04-01,5,$0.00 ,$0.12 ,0.56%
Slovenia,2026-04-03,5,$0.00 ,$0.13 ,2.33%
United Arab Emirates,2026-03-30,5,$0.00 ,$0.00 ,0.18%
United Arab Emirates,2026-04-05,5,$0.00 ,$0.18 ,2.14%
Uruguay,2026-04-03,5,$0.00 ,$0.31 ,2.09%
Uruguay,2026-04-04,5,$0.00 ,$0.23 ,1.46%
Cambodia,2026-03-30,4,$0.00 ,$0.25 ,3.17%
Cambodia,2026-04-01,4,$0.00 ,$0.16 ,5.13%
Cambodia,2026-04-05,4,$0.00 ,$0.45 ,30.77%
Ecuador,2026-03-30,4,$0.00 ,$0.24 ,4.35%
Ecuador,2026-03-31,4,$0.00 ,$0.32 ,18.18%
Egypt,2026-04-01,4,$0.00 ,$0.00 ,4.82%
Georgia,2026-04-02,4,$0.00 ,$0.22 ,1.59%
Georgia,2026-04-04,4,$0.00 ,$0.17 ,0.84%
Guatemala,2026-03-31,4,$0.00 ,$0.60 ,36.36%
Guatemala,2026-04-03,4,$0.00 ,$0.13 ,17.39%
Honduras,2026-04-05,4,$0.00 ,$0.16 ,13.79%
Israel,2026-04-06,4,$0.00 ,$0.22 ,0.71%
Moldova,2026-03-30,4,$0.00 ,$0.41 ,0.90%
New Zealand,2026-04-06,4,$0.00 ,$0.16 ,1.77%
North Macedonia,2026-04-03,4,$0.00 ,$0.07 ,0.82%
Saudi Arabia,2026-03-30,4,$0.00 ,$0.15 ,5.26%
Saudi Arabia,2026-04-01,4,$0.00 ,$0.14 ,3.54%
Serbia,2026-04-01,4,$0.00 ,$0.03 ,0.30%
Serbia,2026-04-04,4,$0.00 ,$0.16 ,0.28%
United Arab Emirates,2026-03-31,4,$0.00 ,$0.14 ,0.14%
United Arab Emirates,2026-04-08,4,$0.00 ,$0.07 ,1.59%
,2026-04-01,3,$0.00 ,$0.85 ,7.50%
Albania,2026-03-31,3,$0.00 ,$0.37 ,3.19%
Belarus,2026-04-02,3,$0.00 ,$0.09 ,0.09%
Bosnia and Herzegovina,2026-04-04,3,$0.00 ,$0.22 ,0.99%
Ecuador,2026-04-04,3,$0.00 ,$0.24 ,3.95%
El Salvador,2026-03-31,3,$0.00 ,$0.53 ,20.00%
Guatemala,2026-04-07,3,$0.00 ,$0.27 ,17.65%
Indonesia,2026-04-06,3,$0.00 ,$0.00 ,0.28%
Kuwait,2026-04-07,3,$0.00 ,$0.23 ,7.89%
Luxembourg,2026-03-30,3,$0.00 ,$0.18 ,12.00%
Moldova,2026-04-01,3,$0.00 ,$0.56 ,0.32%
Panama,2026-04-01,3,$0.00 ,$0.15 ,7.32%
Panama,2026-04-05,3,$0.00 ,$0.27 ,8.33%
Philippines,2026-04-01,3,$0.00 ,$0.04 ,0.32%
Saudi Arabia,2026-04-08,3,$0.00 ,$0.14 ,2.52%
Slovenia,2026-03-31,3,$0.00 ,$0.15 ,0.99%
Tajikistan,2026-04-02,3,$0.00 ,$0.13 ,4.92%
Trinidad and Tobago,2026-04-07,3,$0.00 ,$0.15 ,12.50%
United Arab Emirates,2026-04-01,3,$0.00 ,$0.23 ,0.44%
United Arab Emirates,2026-04-02,3,$0.00 ,$0.05 ,0.87%
Uruguay,2026-04-07,3,$0.00 ,$0.34 ,2.63%
Uruguay,2026-04-08,3,$0.00 ,$0.21 ,0.53%
,2026-03-31,2,$0.00 ,$0.15 ,4.26%
,2026-04-07,2,$0.00 ,$0.16 ,9.52%
,2026-04-08,2,$0.00 ,$0.16 ,6.06%
Albania,2026-04-06,2,$0.00 ,$0.00 ,3.57%
Armenia,2026-04-01,2,$0.00 ,$0.13 ,1.83%
Bahrain,2026-03-30,2,$0.00 ,$1.33 ,12.50%
Cambodia,2026-04-08,2,$0.00 ,$0.19 ,5.88%
China,2026-04-04,2,$0.00 ,$0.17 ,0.08%
Colombia,2026-04-04,2,$0.00 ,$0.00 ,2.90%
Colombia,2026-04-08,2,$0.00 ,$0.09 ,5.88%
Croatia,2026-04-06,2,$0.00 ,$0.28 ,0.43%
Cyprus,2026-03-31,2,$0.00 ,$0.00 ,1.05%
Cyprus,2026-04-08,2,$0.00 ,$0.06 ,2.30%
Dominican Republic,2026-04-06,2,$0.00 ,$0.27 ,8.33%
Ecuador,2026-04-05,2,$0.00 ,$0.14 ,14.29%
Egypt,2026-04-06,2,$0.00 ,$0.06 ,2.27%
Egypt,2026-04-07,2,$0.00 ,$0.12 ,3.51%
Georgia,2026-04-07,2,$0.00 ,$0.14 ,0.70%
Honduras,2026-04-02,2,$0.00 ,$0.54 ,14.29%
Iceland,2026-04-06,2,$0.00 ,$1.06 ,1.49%
Indonesia,2026-04-08,2,$0.00 ,$0.07 ,0.19%
Kyrgyzstan,2026-04-07,2,$0.00 ,$0.19 ,0.60%
Luxembourg,2026-04-03,2,$0.00 ,$0.00 ,3.28%
Macao,2026-04-03,2,$0.00 ,$0.00 ,0.62%
Montenegro,2026-04-07,2,$0.00 ,$0.15 ,4.17%
Montenegro,2026-04-08,2,$0.00 ,$0.17 ,3.51%
Pakistan,2026-04-02,2,$0.00 ,$0.15 ,0.71%
Pakistan,2026-04-06,2,$0.00 ,$0.00 ,0.32%
Pakistan,2026-04-08,2,$0.00 ,$0.00 ,0.93%
Paraguay,2026-03-31,2,$0.00 ,$0.35 ,5.56%
Philippines,2026-04-06,2,$0.00 ,$0.00 ,0.21%
Qatar,2026-04-08,2,$0.00 ,$0.20 ,9.52%
Serbia,2026-03-30,2,$0.00 ,$0.11 ,0.12%
Serbia,2026-04-06,2,$0.00 ,$0.23 ,0.19%
Tajikistan,2026-04-04,2,$0.00 ,$0.12 ,2.94%
,2026-03-30,1,$0.00 ,$0.12 ,1.39%
,2026-04-05,1,$0.00 ,$0.27 ,3.45%
Albania,2026-03-30,1,$0.00 ,$0.14 ,0.74%
Albania,2026-04-08,1,$0.00 ,$0.00 ,1.09%
Bahrain,2026-04-03,1,$0.00 ,$0.17 ,10.00%
Bahrain,2026-04-06,1,$0.00 ,$0.17 ,3.70%
Belarus,2026-04-08,1,$0.00 ,$0.14 ,0.02%
Bosnia and Herzegovina,2026-03-30,1,$0.00 ,$0.17 ,0.34%
Bosnia and Herzegovina,2026-04-06,1,$0.00 ,$0.15 ,0.42%
Bosnia and Herzegovina,2026-04-08,1,$0.00 ,$0.13 ,0.50%
China,2026-04-02,1,$0.00 ,$0.19 ,0.07%
Colombia,2026-04-07,1,$0.00 ,$0.15 ,1.96%
Costa Rica,2026-04-05,1,$0.00 ,$0.14 ,3.70%
Costa Rica,2026-04-07,1,$0.00 ,$0.13 ,9.09%
Costa Rica,2026-04-08,1,$0.00 ,$0.20 ,3.85%
Cyprus,2026-04-04,1,$0.00 ,$0.00 ,1.05%
Dominican Republic,2026-04-03,1,$0.00 ,$0.13 ,8.33%
Ecuador,2026-04-03,1,$0.00 ,$0.15 ,4.76%
Egypt,2026-04-03,1,$0.00 ,$0.00 ,4.55%
Egypt,2026-04-05,1,$0.00 ,$0.12 ,4.55%
Guatemala,2026-04-01,1,$0.00 ,$0.22 ,2.56%
Guatemala,2026-04-02,1,$0.00 ,$0.34 ,4.17%
Honduras,2026-03-30,1,$0.00 ,$0.30 ,4.17%
Honduras,2026-04-01,1,$0.00 ,$0.15 ,10.00%
Indonesia,2026-04-01,1,$0.00 ,$0.00 ,0.08%
Jordan,2026-04-02,1,$0.00 ,$0.29 ,0.22%
Kuwait,2026-03-30,1,$0.00 ,$0.48 ,3.85%
Kuwait,2026-03-31,1,$0.00 ,$0.16 ,2.78%
Kuwait,2026-04-01,1,$0.00 ,$0.18 ,1.96%
Kuwait,2026-04-08,1,$0.00 ,$0.13 ,1.96%
Lebanon,2026-03-30,1,$0.00 ,$0.21 ,1.35%
Lebanon,2026-03-31,1,$0.00 ,$0.16 ,1.01%
Lebanon,2026-04-03,1,$0.00 ,$0.16 ,0.88%
Lebanon,2026-04-05,1,$0.00 ,$0.28 ,0.67%
Lebanon,2026-04-07,1,$0.00 ,$0.21 ,0.65%
Lebanon,2026-04-08,1,$0.00 ,$0.28 ,2.44%
Luxembourg,2026-04-02,1,$0.00 ,$0.00 ,2.44%
Macao,2026-04-02,1,$0.00 ,$0.15 ,1.27%
Macao,2026-04-05,1,$0.00 ,$0.15 ,2.00%
Macao,2026-04-06,1,$0.00 ,$0.00 ,0.23%
Moldova,2026-03-31,1,$0.00 ,$0.56 ,0.16%
Moldova,2026-04-02,1,$0.00 ,$0.48 ,0.09%
Moldova,2026-04-07,1,$0.00 ,$0.00 ,0.14%
Monaco,2026-04-02,1,$0.00 ,$0.14 ,50.00%
Pakistan,2026-04-01,1,$0.00 ,$0.44 ,0.06%
Panama,2026-03-31,1,$0.00 ,$0.67 ,5.56%
Qatar,2026-04-01,1,$0.00 ,$0.30 ,1.06%
Serbia,2026-04-07,1,$0.00 ,$0.13 ,0.11%
Slovenia,2026-04-05,1,$0.00 ,$0.13 ,0.29%
Slovenia,2026-04-07,1,$0.00 ,$0.19 ,0.23%
Tajikistan,2026-03-30,1,$0.00 ,$0.17 ,2.13%
Tajikistan,2026-04-01,1,$0.00 ,$0.13 ,1.19%
Tajikistan,2026-04-05,1,$0.00 ,$0.15 ,1.47%
Tajikistan,2026-04-06,1,$0.00 ,$0.12 ,1.18%
Uruguay,2026-04-05,1,$0.00 ,$0.32 ,0.40%
Venezuela,2026-03-30,1,$0.00 ,$0.24 ,0.67%
Venezuela,2026-04-02,1,$0.00 ,$0.14 ,1.37%
Venezuela,2026-04-03,1,$0.00 ,$0.26 ,0.42%
Venezuela,2026-04-04,1,$0.00 ,$0.23 ,0.81%
Venezuela,2026-04-06,1,$0.00 ,$0.12 ,0.54%
