Country,Date,Total impressions,Total revenue,Total average eCPM,Total fill rate
Australia,2026-04-03,369,$0.07 ,$0.18 ,8.54%
South Korea,2026-04-04,368,$0.07 ,$0.20 ,6.75%
France,2026-04-07,363,$0.06 ,$0.17 ,4.01%
South Korea,2026-04-05,359,$0.07 ,$0.20 ,4.14%
Australia,2026-03-30,357,$0.10 ,$0.28 ,5.50%
Australia,2026-04-02,357,$0.08 ,$0.22 ,8.24%
Norway,2026-04-02,357,$0.01 ,$0.03 ,10.80%
Turkiye,2026-04-08,355,$0.01 ,$0.02 ,3.72%
Ukraine,2026-03-30,355,$0.06 ,$0.16 ,2.76%
South Korea,2026-04-03,333,$0.07 ,$0.20 ,4.23%
France,2026-04-06,332,$0.07 ,$0.21 ,4.06%
Sweden,2026-04-07,327,$0.03 ,$0.08 ,5.65%
Argentina,2026-03-31,320,$0.06 ,$0.17 ,6.68%
Romania,2026-04-03,310,$0.12 ,$0.40 ,7.53%
South Korea,2026-04-07,309,$0.08 ,$0.27 ,6.39%
France,2026-04-02,296,$0.07 ,$0.24 ,4.51%
Czechia,2026-04-08,289,$0.01 ,$0.05 ,8.55%
France,2026-03-30,288,$0.06 ,$0.21 ,2.42%
South Korea,2026-03-30,284,$0.05 ,$0.17 ,9.40%
Hong Kong,2026-03-31,280,$0.03 ,$0.09 ,6.92%
Czechia,2026-04-07,279,$0.02 ,$0.07 ,6.67%
Spain,2026-04-04,277,$0.02 ,$0.08 ,7.98%
France,2026-04-01,276,$0.07 ,$0.26 ,3.35%
South Korea,2026-03-31,276,$0.05 ,$0.16 ,5.83%
Netherlands,2026-04-02,274,$0.07 ,$0.24 ,10.48%
Netherlands,2026-03-31,266,$0.05 ,$0.21 ,9.13%
Romania,2026-03-30,266,$0.05 ,$0.19 ,6.34%
Netherlands,2026-03-30,264,$0.05 ,$0.20 ,11.32%
South Korea,2026-04-01,263,$0.04 ,$0.17 ,6.53%
Australia,2026-04-08,260,$0.06 ,$0.23 ,7.01%
France,2026-04-03,258,$0.06 ,$0.25 ,4.40%
Australia,2026-03-31,256,$0.07 ,$0.26 ,7.07%
Czechia,2026-04-02,251,$0.07 ,$0.29 ,6.39%
Turkiye,2026-03-31,250,$0.01 ,$0.04 ,2.34%
Czechia,2026-04-06,243,$0.02 ,$0.09 ,5.22%
Ukraine,2026-04-03,239,$0.03 ,$0.13 ,1.99%
Belgium,2026-04-07,238,$0.08 ,$0.35 ,19.27%
Netherlands,2026-04-07,236,$0.08 ,$0.34 ,8.04%
Czechia,2026-04-04,234,$0.02 ,$0.07 ,5.84%
France,2026-04-05,234,$0.05 ,$0.20 ,3.16%
Portugal,2026-04-01,234,$0.03 ,$0.13 ,5.22%
Netherlands,2026-04-01,233,$0.06 ,$0.24 ,9.34%
Hungary,2026-03-31,231,$0.04 ,$0.16 ,12.12%
Czechia,2026-03-30,227,$0.10 ,$0.45 ,6.39%
Spain,2026-04-02,227,$0.03 ,$0.15 ,4.71%
Uzbekistan,2026-04-08,222,$0.04 ,$0.17 ,13.59%
Spain,2026-04-08,217,$0.02 ,$0.10 ,5.35%
Spain,2026-03-31,215,$0.05 ,$0.22 ,4.90%
Uzbekistan,2026-04-03,213,$0.04 ,$0.19 ,18.43%
France,2026-04-04,212,$0.05 ,$0.25 ,2.88%
Peru,2026-04-03,211,$0.01 ,$0.03 ,15.07%
Turkiye,2026-04-02,207,$0.01 ,$0.06 ,2.05%
Portugal,2026-03-30,206,$0.06 ,$0.27 ,4.85%
Ukraine,2026-04-04,206,$0.03 ,$0.13 ,1.95%
Uzbekistan,2026-03-30,203,$0.04 ,$0.21 ,17.03%
Peru,2026-04-04,198,$0.01 ,$0.05 ,14.34%
Kazakhstan,2026-04-06,194,$0.02 ,$0.08 ,6.89%
Netherlands,2026-04-03,194,$0.04 ,$0.20 ,4.93%
Spain,2026-03-30,193,$0.03 ,$0.14 ,4.47%
Uzbekistan,2026-04-05,189,$0.04 ,$0.19 ,13.77%
Portugal,2026-04-02,186,$0.02 ,$0.09 ,4.71%
Spain,2026-04-03,184,$0.03 ,$0.18 ,4.07%
Taiwan,2026-04-06,184,$0.03 ,$0.14 ,1.99%
Uzbekistan,2026-04-01,181,$0.06 ,$0.32 ,13.39%
Netherlands,2026-04-08,180,$0.03 ,$0.16 ,6.00%
Portugal,2026-04-04,178,$0.02 ,$0.09 ,3.27%
Portugal,2026-04-08,178,$0.01 ,$0.06 ,3.83%
Uzbekistan,2026-04-07,177,$0.04 ,$0.20 ,15.42%
Hong Kong,2026-04-06,176,$0.03 ,$0.17 ,3.94%
Turkiye,2026-04-06,176,$0.01 ,$0.04 ,1.84%
Romania,2026-04-01,175,$0.27 ,$1.57 ,4.45%
Turkiye,2026-04-04,175,$0.05 ,$0.26 ,1.63%
Hong Kong,2026-04-02,174,$0.03 ,$0.17 ,4.36%
Hong Kong,2026-04-04,172,$0.04 ,$0.23 ,4.84%
Netherlands,2026-04-04,171,$0.04 ,$0.21 ,4.97%
Turkiye,2026-04-03,171,$0.01 ,$0.05 ,1.66%
Spain,2026-04-05,170,$0.02 ,$0.11 ,3.68%
Ukraine,2026-04-02,169,$0.02 ,$0.15 ,1.42%
Denmark,2026-03-31,167,$0.05 ,$0.32 ,3.08%
Portugal,2026-04-07,167,$0.01 ,$0.04 ,4.02%
Hong Kong,2026-04-05,166,$0.03 ,$0.20 ,4.89%
Taiwan,2026-04-08,166,$0.02 ,$0.12 ,2.33%
Uzbekistan,2026-04-06,165,$0.03 ,$0.18 ,20.52%
Portugal,2026-04-03,164,$0.01 ,$0.05 ,3.40%
Taiwan,2026-04-04,164,$0.02 ,$0.13 ,1.39%
Romania,2026-04-02,163,$0.07 ,$0.42 ,4.31%
France,2026-03-31,162,$0.03 ,$0.20 ,1.96%
Hong Kong,2026-04-07,158,$0.02 ,$0.14 ,3.82%
Denmark,2026-04-04,155,$0.04 ,$0.27 ,3.12%
Portugal,2026-03-31,154,$0.03 ,$0.18 ,4.22%
