Client Hardware Details V2 Manufacturer,Client Hardware Details V2 Manufacturer,Client Hardware Details V2 Cores,Client Hardware Details V2 Manufacturer,Client Hardware Details V2 Device Name
,amd ryzen 5 5600 6-core processor              ,12,kingston,keyboard
,amd ryzen 5 5500                               ,12,logitech,keyboard
,amd ryzen 5 5600x 6-core processor             ,12,compx,mouse
,intel(r) core(tm) i5-10400f cpu @ 2.90ghz,12,semico,keyboard
,amd ryzen 5 5500                               ,12,company ,keyboard
,amd ryzen 7 7700x 8-core processor             ,16,,mouse
,amd ryzen 9 7900x 12-core processor            ,24,logitech,mouse
,amd ryzen 7 6800h with radeon graphics         ,16,logitech,mouse
,amd ryzen 5 5600x 6-core processor             ,12,,mouse
,amd ryzen 5 5600x 6-core processor             ,12,semico  ,keyboard
,intel(r) core(tm) i5-10400f cpu @ 2.90ghz,12,compx,mouse
,amd ryzen 9 7900x 12-core processor            ,24,sonix,keyboard
,amd ryzen 5 5600x 6-core processor             ,12,sinowealth,keyboard
,amd ryzen 7 7800x3d 8-core processor           ,16,logitech,keyboard
,amd ryzen 5 5600x 6-core processor             ,12,,keyboard
,amd ryzen 7 7700 8-core processor              ,16,sonix,keyboard
,amd ryzen 5 5500                               ,12,zxwmicrochip,mouse
,amd ryzen 5 5600 6-core processor              ,12,dakai,keyboard
,amd ryzen 5 5600x 6-core processor             ,12,darmoshark,keyboard
,amd ryzen 5 5600x 6-core processor             ,12,razer,mouse
,amd ryzen 5 5600x 6-core processor             ,12,steelseries aps,mouse
,amd ryzen 5 5600 6-core processor              ,12,razer,mouse
,amd ryzen 5 5500                               ,12,semico  ,keyboard
,amd ryzen 7 6800h with radeon graphics         ,16,(standart sistem aygıtları),keyboard
,amd ryzen 5 5600 6-core processor              ,12,steelseries,keyboard
,amd ryzen 5 5600 6-core processor              ,12,logitech,mouse
,amd ryzen 5 5500                               ,12,razer,keyboard
,amd ryzen 5 5600 6-core processor              ,12,logitech,keyboard
,amd ryzen 5 5600x 6-core processor             ,12,logitech,keyboard
,intel(r) core(tm) i7-7700hq cpu @ 2.80ghz,8, ,mouse
,amd ryzen 5 5600 6-core processor              ,12,(standart sistem aygıtları),keyboard
,amd ryzen 5 5500                               ,12,razer,mouse
,amd ryzen 5 5500                               ,12,sonix,mouse
,amd ryzen 5 5600 6-core processor              ,12,steelseries,mouse
,intel(r) core(tm) i5-10400f cpu @ 2.90ghz,12,(standart sistem aygıtları),keyboard
,amd ryzen 7 5700x 8-core processor             ,16,sigmachip,keyboard
,amd ryzen 5 5500                               ,12,(standart sistem aygıtları),keyboard
,amd ryzen 5 5600 6-core processor              ,12,sonix,keyboard
,amd ryzen 5 5500                               ,12,zxwmicrochip,keyboard
,amd ryzen 5 5600 6-core processor              ,12,kingston,mouse
,amd ryzen 5 5600 6-core processor              ,12,      ,mouse
,amd ryzen 5 5600x 6-core processor             ,12,steelseries aps,keyboard
,intel(r) core(tm) i5-10400f cpu @ 2.90ghz,12,instant,mouse
,amd ryzen 5 5600 6-core processor              ,12,semico  ,keyboard
,amd ryzen 9 7950x3d 16-core processor          ,32,melgeek,mouse
,intel(r) core(tm) i5-10400f cpu @ 2.90ghz,12,melgeek,mouse
,amd ryzen 5 5600x 6-core processor             ,12,logitech,mouse
,amd ryzen 9 7900 12-core processor             ,24,steelseries aps,mouse
,11th gen intel(r) core(tm) i5-11400f @ 2.60ghz,12,razer,mouse
,amd ryzen 5 5600x 6-core processor             ,12,evision,mouse
,amd ryzen 5 5600 6-core processor              ,12,,keyboard
,amd ryzen 5 5600 6-core processor              ,12,szh,keyboard
,amd ryzen 5 5600 6-core processor              ,12,(standart sistem aygıtları),mouse
,11th gen intel(r) core(tm) i5-11400f @ 2.60ghz,12,logitech,mouse
,amd ryzen 5 5600x 6-core processor             ,12,corsair,mouse
,amd ryzen 9 7900 12-core processor             ,24,logitech,keyboard
,11th gen intel(r) core(tm) i5-11400f @ 2.60ghz,12,logitech,keyboard
,amd ryzen 9 7900 12-core processor             ,24,steelseries,mouse
,amd ryzen 7 7700x 8-core processor             ,16,logitech,mouse
,amd ryzen 7 7700 8-core processor              ,16,steelseries aps,keyboard
,intel(r) core(tm) i5-10400f cpu @ 2.90ghz,12,melgeek,keyboard
,amd ryzen 7 7700 8-core processor              ,16,steelseries aps,mouse
,amd ryzen 5 5500                               ,12,sinowealthmf,mouse
,amd ryzen 7 7700x 8-core processor             ,16,corsair,mouse
,amd ryzen 5 5600x 6-core processor             ,12,compx,keyboard
,intel(r) core(tm) i7-7700hq cpu @ 2.80ghz,8, ,keyboard
,amd ryzen 5 5600x 6-core processor             ,12,instant,mouse
,amd ryzen 9 7900 12-core processor             ,24,steelseries aps,keyboard
,amd ryzen 9 7950x3d 16-core processor          ,32,logitech,keyboard
,amd ryzen 5 5600 6-core processor              ,12,sigmachip,keyboard
,amd ryzen 7 7800x3d 8-core processor           ,16,pixart,mouse
,intel(r) core(tm) i5-10400f cpu @ 2.90ghz,12,(standart sistem aygıtları),mouse
,11th gen intel(r) core(tm) i5-11400f @ 2.60ghz,12,usb,keyboard
,amd ryzen 5 5600x 6-core processor             ,12,corsair,keyboard
,amd ryzen 5 5600 6-core processor              ,12,pixart,mouse
,amd ryzen 5 5500                               ,12,company ,mouse
,amd ryzen 5 5600x 6-core processor             ,12,sem,keyboard
,amd ryzen 5 5600x 6-core processor             ,12,razer,keyboard
,amd ryzen 7 7800x3d 8-core processor           ,16,pixart,keyboard
,amd ryzen 5 5600x 6-core processor             ,12,evision,keyboard
,amd ryzen 7 7700 8-core processor              ,16,steelseries,keyboard
,amd ryzen 5 5600 6-core processor              ,12,steelseries aps,mouse
,intel(r) core(tm) i5-10400f cpu @ 2.90ghz,12,instant,keyboard
,amd ryzen 5 5500                               ,12,sonix,keyboard
,amd ryzen 5 5600x 6-core processor             ,12,sinowealth,mouse
,amd ryzen 5 5500                               ,12,logitech,mouse
,amd ryzen 5 5600x 6-core processor             ,12,semico,keyboard
,amd ryzen 7 5700x 8-core processor             ,16,(standart sistem aygıtları),mouse
,amd ryzen 9 7900 12-core processor             ,24,logitech,mouse
,amd ryzen 5 5600x 6-core processor             ,12,steelseries,keyboard
,amd ryzen 5 5600x 6-core processor             ,12,darmoshark,mouse
,intel(r) core(tm) i5-10400f cpu @ 2.90ghz,12,hengchangtong,keyboard
,intel(r) core(tm) i5-10400f cpu @ 2.90ghz,12,sigmachip,keyboard
,amd ryzen 9 7950x3d 16-core processor          ,32,,keyboard
,amd ryzen 7 6800h with radeon graphics         ,16,microsoft,mouse
